,LEI,M_change,Y_change,Slope,MA6,MA6_slope
1/1/1960,29.8,0.336700337,5.673758865,,,
2/1/1960,29.8,0,4.561403509,-1.112355356,,
3/1/1960,29.6,-0.67114094,2.068965517,-2.492437992,,
4/1/1960,29.7,0.337837838,2.06185567,-0.007109847,,
5/1/1960,29.7,0,1.365187713,-0.696667957,,
6/1/1960,29.8,0.336700337,1.360544218,-0.004643496,2.848619249,
7/1/1960,29.8,0,1.016949153,-0.343595065,2.072484297,-0.776134952
8/1/1960,29.9,0.33557047,1.700680272,0.68373112,1.59569709,-0.476787206
9/1/1960,30,0.334448161,2.040816327,0.340136054,1.591005559,-0.004691532
10/1/1960,30,0,2.389078498,0.348262172,1.645542697,0.054537138
11/1/1960,29.9,-0.333333333,2.749140893,0.360062395,1.87620156,0.230658863
12/1/1960,30,0.334448161,1.01010101,-1.739039883,1.817794359,-0.058407201
1/1/1961,30.2,0.666666667,1.342281879,0.332180869,1.87201648,0.054222121
2/1/1961,30.3,0.331125828,1.677852349,0.33557047,1.868211826,-0.003804654
3/1/1961,30.7,1.320132013,3.716216216,2.038363867,2.147445141,0.279233315
4/1/1961,31,0.977198697,4.377104377,0.660888161,2.478782788,0.331337646
5/1/1961,31.3,0.967741935,5.387205387,1.01010101,2.918460203,0.439677416
6/1/1961,31.7,1.277955272,6.375838926,0.988633539,3.812749856,0.894289653
7/1/1961,31.8,0.315457413,6.711409396,0.33557047,4.707604442,0.894854586
8/1/1961,32.3,1.572327044,8.026755853,1.315346457,5.765755026,1.058150584
9/1/1961,32.4,0.309597523,8,-0.026755853,6.47971899,0.713963964
10/1/1961,32.8,1.234567901,9.333333333,1.333333333,7.305757149,0.826038159
11/1/1961,33.3,1.524390244,11.37123746,2.037904125,8.303095828,0.997338678
12/1/1961,33.5,0.600600601,11.66666667,0.295429208,9.184900451,0.881804623
1/1/1962,33.6,0.298507463,11.25827815,-0.408388521,9.942711909,0.757811458
2/1/1962,34,1.19047619,12.21122112,0.952942976,10.64012279,0.697410878
3/1/1962,34.1,0.294117647,11.07491857,-1.136302555,11.15260922,0.512486428
4/1/1962,34.3,0.586510264,10.64516129,-0.429757276,11.37124721,0.218637993
5/1/1962,34.3,0,9.584664537,-1.060496754,11.07348505,-0.297762154
6/1/1962,34.2,-0.29154519,7.886435331,-1.698229206,10.4434465,-0.630038556
7/1/1962,34.4,0.584795322,8.176100629,0.289665298,9.929750246,-0.513696253
8/1/1962,34.6,0.581395349,7.120743034,-1.055357595,9.081337231,-0.848413015
9/1/1962,34.7,0.289017341,7.098765432,-0.021977602,8.418645042,-0.662692189
10/1/1962,34.8,0.288184438,6.097560976,-1.001204456,7.660711656,-0.757933386
11/1/1962,35.2,1.149425287,5.705705706,-0.39185527,7.014218518,-0.646493139
12/1/1962,35.3,0.284090909,5.373134328,-0.332571377,6.595335017,-0.4188835
1/1/1963,35.6,0.849858357,5.952380952,0.579246624,6.224715071,-0.370619946
2/1/1963,35.9,0.842696629,5.588235294,-0.364145658,5.969297115,-0.255417957
3/1/1963,36.2,0.835654596,6.158357771,0.570122477,5.812562505,-0.15673461
4/1/1963,36.6,1.104972376,6.705539359,0.547181587,5.913892235,0.10132973
5/1/1963,36.8,0.546448087,7.288629738,0.583090379,6.177712907,0.263820672
6/1/1963,37,0.543478261,8.187134503,0.898504765,6.646712936,0.469000029
7/1/1963,37.2,0.540540541,8.139534884,-0.047599619,7.011238591,0.364525655
8/1/1963,37.3,0.268817204,7.803468208,-0.336066676,7.380444077,0.369205486
9/1/1963,37.7,1.072386059,8.645533141,0.842064933,7.794973305,0.414529228
10/1/1963,38,0.795755968,9.195402299,0.549869158,8.209950462,0.414977157
11/1/1963,38.1,0.263157895,8.238636364,-0.956765935,8.3682849,0.158334438
12/1/1963,38.3,0.524934383,8.498583569,0.259947206,8.420193077,0.051908178
1/1/1964,38.5,0.522193211,8.146067416,-0.352516154,8.421281833,0.001088755
2/1/1964,38.9,1.038961039,8.356545961,0.210478545,8.513461458,0.092179625
3/1/1964,39,0.257069409,7.73480663,-0.621739331,8.361673706,-0.151787752
4/1/1964,39.3,0.769230769,7.37704918,-0.35775745,8.058614853,-0.303058853
5/1/1964,39.6,0.763358779,7.608695652,0.231646472,7.953624735,-0.104990119
6/1/1964,39.9,0.757575758,7.837837838,0.229142186,7.843500446,-0.110124289
7/1/1964,40.2,0.751879699,8.064516129,0.226678291,7.829908565,-0.013591881
8/1/1964,40.5,0.746268657,8.579088472,0.514572343,7.866998984,0.037090418
9/1/1964,40.9,0.987654321,8.48806366,-0.091024811,7.992541822,0.125542838
10/1/1964,40.9,0,7.631578947,-0.856484713,8.03496345,0.042421628
11/1/1964,41.2,0.733496333,8.13648294,0.504903992,8.122927998,0.087964548
12/1/1964,41.6,0.970873786,8.61618799,0.47970505,8.252653023,0.129725025
1/1/1965,42,0.961538462,9.090909091,0.474721101,8.423718517,0.171065494
2/1/1965,42.1,0.238095238,8.22622108,-0.864688011,8.364907285,-0.058811232
3/1/1965,42.5,0.950118765,8.974358974,0.748137895,8.445956504,0.081049219
4/1/1965,42.7,0.470588235,8.651399491,-0.322959483,8.615926594,0.169970091
5/1/1965,42.9,0.468384075,8.333333333,-0.318066158,8.648734993,0.032808399
6/1/1965,43.1,0.466200466,8.020050125,-0.313283208,8.549378682,-0.099356311
7/1/1965,43.3,0.464037123,7.711442786,-0.308607339,8.319467632,-0.229911051
8/1/1965,43.5,0.461893764,7.407407407,-0.304035379,8.182998686,-0.136468945
9/1/1965,43.8,0.689655172,7.090464548,-0.31694286,7.869016282,-0.313982404
10/1/1965,44.3,1.141552511,8.312958435,1.222493888,7.812609439,-0.056406843
11/1/1965,44.7,0.902934537,8.495145631,0.182187196,7.839578155,0.026968716
12/1/1965,45.1,0.894854586,8.413461538,-0.081684093,7.905146724,0.065568569
1/1/1966,45.3,0.44345898,7.857142857,-0.556318681,7.929430069,0.024283345
2/1/1966,45.5,0.441501104,8.076009501,0.218866644,8.040863752,0.111433682
3/1/1966,45.9,0.879120879,8,-0.076009501,8.192452994,0.151589242
4/1/1966,46.1,0.435729847,7.962529274,-0.037470726,8.134048134,-0.05840486
